PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,Difficulty
GaOHn,7k/ppp3p1/2p4r/2q2K2/4P1B1/1QP2PP1/PP1r3P/R6R w - - 0 31,f5f4 g7g5,1973,76,95,13634,mate mateIn1 middlegame oneMove,https://lichess.org/OvLBpIPG#61,,4
V5xA7,8/pp3k2/2nR4/5Kp1/2P3P1/1P2r1B1/8/8 w - - 4 36,g3f2 e3e5,2028,76,93,6477,endgame mate mateIn1 oneMove,https://lichess.org/cllVv5Lp#71,,4
rgrU3,4rb1k/1b3R1P/p4Pp1/1q6/3B2N1/5RQ1/PP5P/2r3K1 w - - 1 36,g1g2 b5f1,1967,76,93,2768,mate mateIn1 middlegame oneMove pin,https://lichess.org/C5D9pBNy#71,,4
RA3vL,r3rk1R/ppp2p2/3p2p1/3P2P1/8/2Q5/PPP2q2/1K1R4 b - - 4 25,f8e7 c3c7,2000,78,84,294,endgame mate mateIn1 oneMove,https://lichess.org/f1BOWfXx/black#50,,4
QPjtf,3R4/6p1/2r1bp2/P3k2P/1n2N1P1/4BPK1/2p5/8 b - - 1 47,c2c1q e3d4,2085,78,92,6516,mate mateIn1 middlegame morphysMate oneMove,https://lichess.org/KYhiLzPi/black#94,,4
PDNPa,1r4k1/6pp/3Q4/p1p2b2/P7/2K1q3/6PP/2RR4 w - - 0 29,d1d3 e3c1,1676,78,94,896,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/GB2qWJTu#57,,5
WsgxV,6k1/5pp1/R3q2p/Bp6/3P2r1/1N2P3/PP2Q1KP/8 w - - 1 33,g2f3 e6f5,1694,79,92,1505,endgame mate mateIn1 oneMove,https://lichess.org/A0CUotLv#65,,5
c6Cwe,8/1R4p1/5b2/4p2p/k1Nr4/2K4P/8/8 b - - 7 59,d4h4 b7b4,1719,80,93,982,endgame mate mateIn1 oneMove vukovicMate,https://lichess.org/YuPg7eNN/black#118,,5
GsLwf,2rqkbnr/p1pn2p1/2Qp3p/3NN3/4P3/8/PPP2PPP/R1B1K2R b KQk - 0 12,d6e5 c6g6,1715,77,94,3592,mate mateIn1 oneMove opening,https://lichess.org/8N0fm9YT/black#24,Philidor_Defense Philidor_Defense_Other_variations,5
gnIXw,r1q1r3/p3k1p1/1p4p1/3Q1pN1/3P2P1/7P/P1P2P2/K3R3 b - - 2 29,e7f6 g5h7,1735,78,91,1129,endgame mate mateIn1 oneMove,https://lichess.org/JV77ghQk/black#58,,5
F9yKp,rnbk1b1r/ppp2Bpp/2N5/8/3P1q2/2K5/PPP1QB1q/RN6 b - - 1 15,d8d7 e2e6,1684,78,90,179,mate mateIn1 middlegame oneMove,https://lichess.org/qPrf2Q55/black#30,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bonsch-Osmolovsky_Variation,5
TbSFY,r4rk1/ppp2pp1/3pb2p/1B2p1q1/4Pn2/P2PQ2P/1PPN1PP1/R4RK1 w - - 0 15,d2f3 g5g2,1657,78,80,323,kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/0PyQZPHg#29,Italian_Game Italian_Game_Hungarian_Defense,5
rObZO,6r1/p4R2/4k3/7K/Pq1P2r1/6p1/Q7/7B b - - 1 44,e6d6 a2d5,1686,78,94,4420,endgame killBoxMate mate mateIn1 oneMove,https://lichess.org/9y2YyEOX/black#88,,5
PUXfG,6k1/8/p1p5/1p2P1p1/1PbPKr1p/P3P1rP/3B1p2/2R2R2 w - - 4 39,e3f4 c4d3,1741,79,90,1393,endgame master mate mateIn1 oneMove,https://lichess.org/NgqhgA4F#77,,5
OhVsV,8/pppQ1k2/3p1Brp/3R4/2P5/1P2q2P/P4bP1/7K b - - 10 34,f7f6 d5f5,1675,80,71,341,endgame killBoxMate mate mateIn1 oneMove,https://lichess.org/GGl1k4Ug/black#68,,5
PL0SS,2kr4/1npr1p2/p1Q1b3/4P3/7q/N4P2/PP2K1P1/2RR4 b - - 10 28,d7d1 c6c7,1099,76,85,274,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/9GBM7J8b/black#56,,6
XBI2q,r1bqkb1r/pp1ppp1p/2n1P1p1/8/2B1n3/2Q5/PP3PPP/RNB1K1NR b KQkq - 0 8,e4c3 e6f7,1038,78,95,1042,advancedPawn attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/auQ06rGN/black#16,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Accepted,6
cSm18,6k1/pp1Q1p2/2p3pp/2P3K1/1P2p1P1/P2bP2P/B4q2/8 w - - 0 42,g5h6 f2h4,1095,80,94,140,endgame mate mateIn1 oneMove,https://lichess.org/ZeJsJAwc#83,,6
HJe3E,3r4/R4kp1/8/2p5/2P1n1K1/2B5/P4r2/7R b - - 10 34,f7g6 a7g7,1074,77,98,827,endgame mate mateIn1 oneMove operaMate,https://lichess.org/I5Bp45uR/black#68,,6
hDCY8,r1b1k2r/pp3p1p/2n1p1p1/3pPn2/3P1P2/BNq2N2/5KPP/R2Q1B1R w kq - 6 17,a1c1 c3e3,1023,78,100,83,mate mateIn1 oneMove opening,https://lichess.org/FmBRhdnj#33,French_Defense French_Defense_Normal_Variation,6
FVYZX,r1b1k2r/pp1pppbp/1qn3p1/6B1/2P3n1/1PN2N2/P3PPPP/R2QKB1R w KQkq - 1 9,g5d2 b6f2,1071,79,100,106,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/dVUNUJ0M#17,Benoni_Defense Benoni_Defense_Old_Benoni,6
Tmkjz,r5kb/8/3p1PBB/q1p4p/4P2P/1pPP4/rP6/1R5K b - - 0 34,a2a1 f6f7,1125,75,98,259,advancedPawn mate mateIn1 middlegame oneMove,https://lichess.org/sfDtuJTO/black#68,,6
rJo0x,1R6/4Qpk1/8/p2pp3/5qn1/6K1/5PP1/8 w - - 1 60,g3h3 g4f2,1142,75,92,425,endgame mate mateIn1 oneMove,https://lichess.org/60Iof3fi#119,,6
Pb49G,r2k1b1r/1p1npQp1/2p5/p5Pp/3P2nP/2N3q1/PPP3B1/R1B2K1R w - - 0 19,c1f4 g3f2,1144,77,64,98,mate mateIn1 middlegame oneMove,https://lichess.org/0QyLyY01#37,,6
OoAL4,r4rk1/pp1n1ppp/8/3p4/5B2/1NPB3q/PP2Rb1n/R2Q3K w - - 0 18,f4h2 h3f3,1104,79,95,181,master mate mateIn1 middlegame oneMove,https://lichess.org/yYJcOS2s#35,French_Defense French_Defense_Exchange_Variation,6
PmFI3,r7/p3R3/2p1n3/1p2k1r1/1P6/PP6/4R3/2K5 b - - 3 36,e5d5 e7d7,1853,80,72,430,endgame mate mateIn1 oneMove,https://lichess.org/kTvYeaVD/black#72,,7
XwFnC,r1bqr2b/4kp2/2Q5/pp2pP1N/3pP3/1P1P3P/1PP3P1/R4RK1 b - - 0 23,c8d7 c6c5,1888,80,92,5568,mate mateIn1 middlegame oneMove,https://lichess.org/oKVQVFMt/black#46,,7
cdfmP,r4r1k/4NpQp/p4R2/7q/1p1B2bP/1P6/1PP5/1K6 b - - 0 25,h8g7 f6g6,1806,80,90,2156,discoveredCheck doubleCheck mate mateIn1 middlegame oneMove pillsburysMate,https://lichess.org/9X20q1jB/black#50,,7
I6qVF,r3k2r/p4p2/b1p1p1p1/1q1pP3/1b1P2RP/4PN2/PPQN4/R3K3 w Qkq - 1 17,g4g2 b5f1,1805,78,83,359,mate mateIn1 middlegame oneMove pin,https://lichess.org/ywfTUS93#33,French_Defense French_Defense_Advance_Variation,7
hCLNa,3r1k2/7p/6p1/8/3q1p2/BQ5P/5PP1/6K1 b - - 3 31,f8e8 b3e6,1779,79,91,2505,endgame mate mateIn1 oneMove,https://lichess.org/PmMPVDWC/black#62,,7
FrrOn,r1bR2rk/1p3p1p/p4P1Q/4p3/4pP2/P7/1Pn4P/7K b - - 3 27,c8g4 h6g7,1798,75,84,795,endgame mate mateIn1 oneMove pin,https://lichess.org/8tJWtVtT/black#54,,7
Tg4gX,5rk1/p4pb1/4pq2/6RQ/8/5P2/P1r2PK1/7R b - - 3 36,f8d8 h5h8,1816,77,87,1644,mate mateIn1 middlegame oneMove pin,https://lichess.org/cVyhvLwi/black#72,,7
r545Y,rn5k/qb1pnBp1/p2b3B/P6Q/1p6/8/1P3PPP/R4RK1 b - - 0 19,a7c5 h6g5,1795,79,91,3320,discoveredAttack discoveredCheck master mate mateIn1 middlegame oneMove,https://lichess.org/RaXtw7mZ/black#38,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit,7
Q7qe5,r2q1rk1/ppp2pp1/3bn2B/8/2Bn2QP/P1N5/1P3PP1/R4RK1 b - - 0 16,f7f5 g4g7,1899,78,90,1225,kingsideAttack mate mateIn1 middlegame oneMove pin,https://lichess.org/9w8alAln/black#32,Italian_Game Italian_Game_Anti-Fried_Liver_Defense,7
PGmk4,3k4/1p5R/p2NP1p1/8/1P1K1P2/5b1p/P6r/8 b - - 0 40,h2e2 h7d7,1837,75,91,4541,endgame master mate mateIn1 oneMove vukovicMate,https://lichess.org/zjhGYRlz/black#80,,7
PWIAD,3r1rk1/ppp2p1p/2q1p1p1/2bn3Q/5P2/1P1PP2R/PBP3PP/RN4K1 b - - 4 16,g6h5 h3g3,784,79,99,1090,mate mateIn1 middlegame oneMove pillsburysMate,https://lichess.org/sjaAPivk/black#32,Zukertort_Opening Zukertort_Opening_Other_variations,8
XCcPy,rn1q1k1r/ppp3pp/1b1p3B/4p2B/1P1Pb3/1QP5/P4PPP/RN2K2R b KQ - 2 10,g7h6 b3f7,751,79,100,173,mate mateIn1 middlegame oneMove,https://lichess.org/61P5S9jH/black#20,Kings_Pawn_Game Kings_Pawn_Game_Busch-Gass_Gambit,8
cULyG,1r4k1/p1p2pbp/6p1/N1p1p1n1/1P2P3/1B4Pq/P4P2/2BRQ2K w - - 2 31,h1g1 g5f3,866,77,100,308,mate mateIn1 middlegame oneMove,https://lichess.org/gFBztPQw#61,,8
HKWBH,5r2/p3pkQp/3pb3/1rq2N2/4P3/1P4P1/P4RKP/8 b - - 2 28,f7e8 g7e7,941,80,79,91,mate mateIn1 middlegame oneMove,https://lichess.org/KSuBpXFO/black#56,,8
h48Q3,6R1/pp6/1r6/3p2kp/2r5/8/P7/K4R2 b - - 9 42,g5h4 f1h1,933,76,92,106,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/OiItooNH/black#84,,8
FaDEY,r3kb1r/ppp2ppp/3p2n1/3Pp3/Q1P1P2q/4P2B/PP3P1P/R1B1K2R b KQkq - 2 11,e8d8 a4d7,778,77,100,96,mate mateIn1 middlegame oneMove,https://lichess.org/Fy5oxjm7/black#22,Old_Indian_Defense Old_Indian_Defense_Tartakower-Indian,8
Tt6pH,5rk1/ppqn2b1/2p3P1/3p3Q/2P1p3/2NP3P/PP4K1/R1B5 b - - 1 24,e4d3 h5h7,894,79,85,221,mate mateIn1 middlegame oneMove,https://lichess.org/selXQnZX/black#48,,8
rBrBL,r2q1rk1/ppp3b1/2n1NnQ1/2p2p1p/2PP4/1P6/PB3PPP/R4RK1 b - - 3 17,d8e8 g6g7,949,78,100,77,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/zaRkMGIJ/black#34,Mexican_Defense Mexican_Defense_Other_variations,8
PmfTE,r1bqkbnr/1p1np2p/p3p1N1/1Bpp3Q/5P2/2N5/PPPP2PP/R1B1K2R b KQkq - 0 10,a6b5 g6h8,902,80,100,342,discoveredAttack discoveredCheck hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/78FnBZXj/black#20,Sicilian_Defense Sicilian_Defense_McDonnell_Attack,8
OxuXO,5R2/r5pk/4p2p/3pq1P1/p6P/2r1PQ2/4R1K1/8 b - - 0 37,h6g5 f3h5,813,76,100,240,endgame mate mateIn1 oneMove,https://lichess.org/2mjjSG00/black#74,,8
OXlDi,8/5Qpp/2k5/5KP1/5P2/P2q3P/8/8 w - - 5 47,f5e6 d3e4,2277,79,92,5090,endgame master mate mateIn1 oneMove queenEndgame,https://lichess.org/GcXiulff#93,,9
WXIKa,3rkb1r/R3pp1p/2p2np1/8/2b1P3/2P2PP1/4Q2P/2qNKBNR w Kk - 1 21,e2c4 c1d2,2091,75,96,507,mate mateIn1 oneMove opening,https://lichess.org/3Zo2rFB7#41,,9
caMsD,8/1bp2prk/p3pQ1p/2P1P3/3P4/6P1/P2N1RKP/3q4 w - - 13 34,g2h3 d1g4,2113,79,94,3477,endgame mate mateIn1 oneMove,https://lichess.org/lNSwSyWl#67,,9
I48GD,8/8/p3p2p/1p3pp1/1PqPk3/P3P1PP/5K2/1Q6 b - - 9 38,c4d3 b1h1,2164,76,95,1616,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/3IdGbbbp/black#76,,9
hPXCY,8/8/6p1/2k4p/3p1NbR/8/r2KB3/8 w - - 16 52,d2d3 g4f5,2098,78,92,2434,endgame mate mateIn1 oneMove,https://lichess.org/go2RbpeY#103,,9
FSr7X,3r2k1/5ppp/1p2pb2/8/bPK1P3/3B1P2/3N2PP/6NR w - - 0 22,g1e2 d8c8,2104,79,91,1193,mate mateIn1 middlegame oneMove pillsburysMate,https://lichess.org/4Z8Fzd8e#43,,9
VzBUy,5rk1/3R4/3p3Q/8/4N1pP/6b1/5P1K/3q4 w - - 0 35,h2g3 d1g1,2231,79,94,5683,endgame mate mateIn1 oneMove,https://lichess.org/d0KWeKt5#69,,9
qyBIo,8/8/4p3/2rp4/3kqq2/6RP/P5PK/3Q4 b - - 9 52,d4c4 d1a4,2134,77,81,553,endgame mate mateIn1 oneMove,https://lichess.org/jstq5BxD/black#104,,9
P8wxc,8/5Q1p/2n1pppk/3q4/6PP/5N2/5PK1/8 b - - 4 42,f6f5 f7f8,2170,79,92,8779,endgame mate mateIn1 oneMove,https://lichess.org/Tc4bpOoH/black#84,,9
Oe88F,r3k2r/ppp2pp1/2np1n1p/2b1p1N1/4P1q1/3PBN2/PPP1BP2/R2Q1R1K w kq - 0 13,f3e5 h6g5,2134,78,83,185,discoveredAttack discoveredCheck mate mateIn1 middlegame oneMove,https://lichess.org/PvT5aICR#25,Kings_Knight_Opening Kings_Knight_Opening_Normal_Variation,9
